wavelength,flux
7301.2964544517945,6.028472900390625e-17
7302.980117288253,7.656726837158203e-17
7304.660158267028,1.2154192924499513e-16
7306.340585737024,1.346248722076416e-16
7308.025411739015,9.38279151916504e-17
7309.7066133811495,5.667054653167725e-17
7311.392215581681,5.59578561782837e-17
7313.074191752615,5.955924510955811e-17
7314.760570509281,7.711115837097168e-17
7316.44332156584,2.125020980834961e-16
7318.126459737067,3.386272048950196e-16
7319.814003535572,2.5857629776000977e-16
7321.497917127757,9.857955932617189e-17
7323.18623837689,5.663554668426514e-17
7324.870927747269,5.587499618530274e-17
7326.5600268052,5.760376930236817e-17
7328.245492311174,8.018625259399414e-17
7329.9313455562715,1.5975412368774416e-16
7331.621611535374,1.9137493133544923e-16
7333.308241452262,1.2872859001159668e-16
7334.9992861361,7.133102416992188e-17
7336.686693082591,6.08435344696045e-17
7338.378516829913,6.249168395996094e-17
7340.066701163984,1.309520721435547e-16
7341.755273862644,3.5232395172119145e-16
7343.4482664134985,4.152145004272461e-16
7345.137617036799,2.272332000732422e-16
7346.83138954852,8.192788124084473e-17
7348.521518454852,6.674044132232667e-17
7350.216071286766,6.571209907531739e-17
7351.906978834684,6.977513790130616e-17
7353.598275373663,7.041908264160157e-17
7355.293998894508,6.639038085937501e-17
7356.986074613,6.982413291931153e-17
7358.682579352868,1.1903952598571779e-16
7360.375434609841,1.7835697174072267e-16
7362.072720928639,1.5164935111999513e-16
7363.766356083226,8.331326484680177e-17
7365.460380856354,6.797538280487061e-17
7367.158839752526,7.047702312469483e-17
7368.853644962064,1.4832201957702638e-16
7370.552886337444,3.112285041809082e-16
7372.24847234294,3.0743503570556644e-16
7373.948496558015,1.564315700531006e-16
7375.644863719179,7.460290908813478e-17
7377.34162112738,6.707771301269532e-17
7379.042819811316,6.19166374206543e-17
7380.74035891485,5.980598449707032e-17
7382.442341340214,5.908502101898193e-17
7384.140662499208,5.993785381317139e-17
7385.843429027068,5.976528644561768e-17
7387.542532601815,5.89844560623169e-17
7389.2420270531065,5.987325668334961e-17
7390.945969944365,7.219253063201905e-17
7392.646247351945,1.1899861335754396e-16
7394.350975248886,1.4949224472045898e-16
7396.052035973461,1.13806791305542e-16
7397.757549237736,6.58772087097168e-17
7399.459393640182,6.145442008972168e-17
7401.161629549694,1.034604835510254e-16
7402.868321074963,2.071859359741211e-16
7404.571341203752,2.280645751953125e-16
7406.278819000998,1.2721489906311036e-16
7407.9826237103525,6.314362049102784e-17
7409.69088814181,5.555171966552735e-17
7411.395477793187,5.543238162994385e-17
7413.100459583174,6.167197704315187e-17
7414.80990417628,6.315555095672608e-17
7416.515671450568,6.198848247528077e-17
7418.225903583988,6.088195323944092e-17
7419.932456704451,5.896552085876465e-17
7421.643476741004,5.600928783416748e-17
7423.350816069681,5.637887954711914e-17
7425.058548169526,5.623243808746338e-17
7426.770750271449,5.5452718734741215e-17
7428.479269122664,5.940979480743409e-17
7430.192260035284,8.873934745788574e-17
7431.901566000322,1.0978231430053712e-16
7433.615346087044,8.871474266052247e-17
7435.32543952853,6.195930004119873e-17
7437.040009152925,6.659960269927978e-17
7438.75089043365,1.1313647270202638e-16
7440.462165300365,1.5061766624450684e-16
7442.177919442377,1.2240281105041505e-16
7443.889982692613,6.911325931549073e-17
7445.606527281744,5.664096832275391e-17
7447.319379278707,5.5184659957885745e-17
7449.036714679118,5.589627265930176e-17
7450.750355786184,5.4894733428955085e-17
7452.464391114134,5.4890909194946294e-17
7454.18291294291,5.672836303710938e-17
7455.897737926123,5.696290016174317e-17
7457.617051477092,5.670557498931886e-17
7459.332666479362,5.939069747924805e-17
7461.0527721172675,6.128441333770752e-17
7462.769177502556,6.467597007751465e-17
7464.485977744648,7.183326721191407e-17
7466.20727172475,7.887031555175782e-17
7467.924862895899,8.503107070922852e-17
7469.646949875322,8.349531173706055e-17
7471.365332339909,9.006978034973145e-17
7473.088212683987,1.1173598289489746e-16
7474.807386806562,1.2882490158081057e-16
7476.526956422884,1.1035373687744141e-16
7478.251027026075,8.376709938049317e-17
7479.971388847304,1.0352609634399415e-16
7481.696253729005,1.2905047416687013e-16
7483.417408120109,1.2822466850280764e-16
7485.143067646243,1.3406807899475098e-16
7486.86501497236,1.1226357460021974e-16
7488.587358430195,7.601869583129884e-17
7490.314210135452,6.483738899230957e-17
7492.037347076103,6.100662231445313e-17
7493.764994341122,6.903540134429932e-17
7495.488925130144,7.875377655029298e-17
7497.217368321439,7.080140113830567e-17
7498.942093324558,5.734901905059815e-17
7500.667215098399,5.817739963531494e-17
7502.396852391923,5.900791645050049e-17
7504.122768928546,5.995362758636476e-17
7505.853203065151,5.912866115570068e-17
7507.579914730705,5.639894485473634e-17
7509.311146077497,5.591022968292236e-17
7511.038653238296,5.581471920013428e-17
7512.766557809848,5.472892761230469e-17
7514.498985185078,5.3545083999633795e-17
7516.227685801447,5.984004020690919e-17
7517.960911305147,7.177348136901856e-17
7519.69040833307,7.882019519805909e-17
7521.424432332939,7.275690078735352e-17
7523.154726139323,1.0899470329284669e-16
7524.885417997523,2.263491821289063e-16
7526.6206399551465,2.6614591598510745e-16
7528.352129142266,1.5052958488464357e-16
7530.088150515822,8.264696121215821e-17
7531.820437399188,1.0820836067199708e-16
7533.557258556969,1.0770095825195313e-16
7535.290343504082,7.454419612884522e-17
7537.023827145108,5.828226566314698e-17
7538.761848193071,5.871179580688477e-17
7540.49613044919,6.600504398345948e-17
7542.234952202626,7.25395679473877e-17
7543.9700334417585,6.862174987792969e-17
7545.709656269552,5.916443824768066e-17
7547.445536859788,5.760234355926514e-17
7549.181816787072,5.726263523101808e-17
7550.922641440595,5.830838203430176e-17
7552.659721271219,5.864031791687013e-17
7554.401347921834,6.089917182922364e-17
7556.139228024313,6.179577827453614e-17
7557.881657041499,8.178089141845704e-17
7559.620337784518,9.589073181152344e-17
7561.359418508755,8.178608894348146e-17
7563.103051290338,6.28390121459961e-17
7564.842933208241,5.842163562774659e-17
7566.587369280621,5.871991634368897e-17
7568.328052761299,6.734287738800049e-17
7570.07329249455,7.77598524093628e-17
7571.8147779072815,1.2922149658203127e-16
7573.56082167165,1.96864070892334e-16
7575.303109385886,1.686849594116211e-16
7577.045797911122,9.170454978942872e-17
7578.79304793715,6.181801319122315e-17
7580.536539318162,5.537911415100098e-17
7582.284594301449,5.3608922958374027e-17
7584.028888908114,5.4807767868041994e-17
7585.777749219503,7.097346782684327e-17
7587.522847421867,1.0528660774230957e-16
7589.268347081778,9.753340721130371e-17
7591.01841560065,6.57417917251587e-17
7592.764719411428,5.767197132110596e-17
7594.515594186037,5.960694789886475e-17
7596.262702518152,5.72234582901001e-17
7598.014383919939,8.554634094238281e-17
7599.762297144034,1.6700088500976564e-16
7601.51061247327,1.903491020202637e-16
7603.263504031503,1.0674191474914552e-16
7605.012624808782,6.948670864105225e-17
7606.766323923323,7.425399780273438e-17
7608.516250519716,7.626928806304932e-17
7610.270757562608,6.860349655151368e-17
7612.021490349354,6.693756103515625e-17
7613.7726258898765,7.513359069824219e-17
7615.52834504132,6.62637996673584e-17
7617.280287329156,6.827113151550294e-17
7619.03681533958,9.752945899963379e-17
7620.789564746397,1.006865406036377e-16
7622.546901988443,8.914439201354981e-17
7624.300458886081,8.557894706726074e-17
7626.0544191871795,8.379039764404297e-17
7627.812970493032,9.071542739868165e-17
7629.5677388428085,1.540815830230713e-16
7631.327100312413,1.7527299880981445e-16
7633.082677083137,1.1099463462829591e-16
7634.842849089737,6.74345350265503e-17
7636.599234653847,6.175847053527832e-17
7638.356024272148,6.070075988769531e-17
7640.117412300962,6.307744979858399e-17
7641.875011271407,6.125545978546143e-17
7643.637210770852,6.332628726959229e-17
7645.39561946631,6.466575622558594e-17
7647.158630810228,5.893178462982178e-17
7648.9178496037375,5.945061683654786e-17
7650.677473103219,6.033709526062012e-17
7652.441702430921,6.380880355834961e-17
7654.202136588115,7.984366893768311e-17
7655.96717869543,8.209753036499024e-17
7657.7284238838065,6.534261226654054e-17
7659.494279145185,5.5302968025207526e-17
7661.256335738383,6.205318450927735e-17
7663.018797690385,9.615269660949708e-17
7664.785872900279,1.1404617309570313e-16
7666.549146817667,8.582995414733887e-17
7668.317036118272,6.108975887298585e-17
7670.081122375118,5.803465366363525e-17
7671.849826141486,5.5471043586730964e-17
7673.614725112034,5.392652034759522e-17
7675.380030095271,5.71455478668213e-17
7677.149955778055,5.4857645034790046e-17
7678.916074036461,5.166862010955811e-17
7680.686815123169,5.524899005889893e-17
7682.453747031419,6.074961185455323e-17
7684.225303897706,6.307836055755616e-17
7685.9930498306485,6.352808475494385e-17
7687.76120243122,6.667468547821045e-17
7689.533983185,7.028946876525879e-17
7691.302950372636,6.887136936187744e-17
7693.076547845669,7.196491718292237e-17
7694.846329995649,7.265548706054688e-17
7696.620744564198,6.711262702941895e-17
7698.391342051976,6.942638874053956e-17
7700.16234686338,9.155869483947755e-17
7701.937987293676,1.0005911827087403e-16
7703.709808006157,7.903654575347901e-17
7705.486266473157,6.224295616149903e-17
7707.2589034626,5.857496738433839e-17
7709.036180343174,5.747358322143555e-17
7710.809633985638,7.434010028839111e-17
7712.587729656829,2.144921875e-16
7714.362000328545,3.8764663696289065e-16
7716.136679168897,3.924870681762696e-16
7717.916003244942,4.1344631195068363e-16
7719.691499678995,4.181791687011719e-16
7721.471643488797,2.2157142639160158e-16
7723.247957893215,9.920993804931641e-17
7725.028921814427,1.1812868118286133e-16
7726.806054566049,1.5750174522399903e-16
7728.583596144726,1.469193172454834e-16
7730.365790452334,9.92570972442627e-17
7732.144150943574,6.624042987823487e-17
7733.927166307254,6.431338787078858e-17
7735.706346088328,7.619350910186768e-17
7737.490182886342,8.36746120452881e-17
7739.270182334698,7.56691837310791e-17
7741.050591269588,6.615324497222901e-17
7742.835660438736,6.505004882812501e-17
7744.616889607179,6.181223392486573e-17
7746.402781156848,6.127809047698976e-17
7748.184830936723,7.479438781738282e-17
7749.971545245782,1.969804573059082e-16
7751.7544160151465,5.09540023803711e-16
7753.5376969315885,5.281075286865235e-16
7755.325645599723,2.268243598937988e-16
7757.109748072839,7.697684764862061e-17
7758.898520448077,9.456662178039552e-17
7760.683444856355,1.8647314071655276e-16
7762.47304131818,2.3164104461669925e-16
7764.258788040286,1.3950353622436525e-16
7766.04494557108,6.346308708190918e-17
7767.835778383127,5.674503326416016e-17
7769.622758795848,5.842482089996339e-17
7771.414416643724,6.245213985443116e-17
7773.202220317474,8.665650367736817e-17
7774.994703581269,1.2306575775146484e-16
7776.783330895325,1.109333610534668e-16
7778.572369680744,7.050102710723878e-17
7780.366091289122,1.0277303695678711e-16
7782.15595428386,1.6733142852783203e-16
7783.950502258934,1.4429970741271974e-16
7785.741189842705,8.27884578704834e-17
7787.536564565179,6.909502983093262e-17
7789.328077117872,7.035696506500245e-17
7791.120001805673,7.888684272766114e-17
7792.916616870307,1.2734328269958498e-16
7794.709367096962,3.3256805419921877e-16
7796.506809861304,4.3545154571533204e-16
7798.3003860071385,2.566663932800293e-16
7800.0986568525095,8.134137153625489e-17
7801.893059298025,6.247535705566407e-17
7803.687874543464,5.637096405029297e-17
7805.487387731792,5.93111276626587e-17
7807.283029847765,7.814414501190186e-17
7809.083372070966,1.7198963165283205e-16
7810.87984143841,2.342051887512207e-16
7812.68101307842,1.5382694244384766e-16
7814.47831007845,8.167348861694337e-17
7816.276020544292,7.906397342681886e-17
7818.078436531286,7.591366291046143e-17
7819.876975201488,1.0236030578613282e-16
7821.680221560672,3.1109548568725586e-16
7823.479588816787,5.330819702148438e-16
7825.283665930714,3.7656726837158207e-16
7827.083862154471,1.1711979866027832e-16
7828.884472511003,6.769278049468994e-17
7830.689795979172,6.808504581451416e-17
7832.491235876042,6.479321956634521e-17
7834.297391055878,5.998299598693849e-17
7836.099660875254,6.152891159057617e-17
7837.906648149925,5.978691577911377e-17
7839.709748274153,6.414132595062257e-17
7841.513263199194,1.410397529602051e-16
7843.321498838604,2.056536865234375e-16
7845.125844642117,1.514823627471924e-16
7846.934913334829,6.906515121459961e-17
7848.740090399598,6.651427745819093e-17
7850.549992529398,9.884846687316895e-17
7852.356001238385,1.8279420852661134e-16
7854.166737189239,4.444831466674805e-16
7855.9735779255825,5.092520523071289e-16
7857.780834323262,2.8558431625366215e-16
7859.5928212286435,1.4197450637817384e-16
7861.400910228489,2.180942726135254e-16
7863.21373191538,2.2750688552856446e-16
7865.02265390097,1.3305400848388673e-16
7866.836310753952,7.301313400268555e-17
7868.646066109044,1.187034320831299e-16
7870.456237795976,1.9391744613647463e-16
7872.271147621404,2.7750984191894535e-16
7874.082153253575,2.2640953063964846e-16
7875.897899207099,9.759653091430665e-17
7877.709739168706,7.624394416809083e-17
7879.526321635529,1.4717248916625977e-16
7881.338996310948,2.0607189178466797e-16
7883.1520879897935,1.9407670974731446e-16
7884.969925450235,1.4253172874450685e-16
7886.783852419557,9.495583534240724e-17
7888.602527356855,1.0392087936401368e-16
7890.417290001472,2.434403800964356e-16
7892.236802801451,3.254887390136719e-16
7894.052401506358,2.0358171463012697e-16
7895.868417887362,9.354134559631348e-17
7897.689187705391,7.530888557434082e-17
7899.506040724281,6.983850955963136e-17
7901.327649370102,6.421233654022217e-17
7903.145339412316,6.127709865570069e-17
7904.967787272378,6.398983478546144e-17
7906.786314723532,6.598728656768799e-17
7908.605260524537,6.872509002685547e-17
7910.428967430348,7.353857994079591e-17
7912.248751218821,1.2877605438232422e-16
7914.073298305539,4.258612060546875e-16
7915.893920467541,6.248102569580078e-16
7917.719308122237,3.884241104125977e-16
7919.540769044005,1.3464446067810058e-16
7921.362648990465,2.2194156646728518e-16
7923.1892977218795,3.1069168090820315e-16
7925.012017007567,2.20533504486084e-16
7926.839507275186,8.677331924438477e-17
7928.663066286785,6.746518135070801e-17
7930.491398478304,1.0356894493103028e-16
7932.315797602674,2.1142965316772461e-16
7934.140616427666,2.2704957962036137e-16
7935.9702117301495,1.29076509475708e-16
7937.795871248309,6.497092247009277e-17
7939.626309444481,5.742289543151856e-17
7941.452810043115,5.868550300598144e-17
7943.284091521296,6.244643688201905e-17
7945.11143358789,6.426121711730957e-17
7946.9391960321245,7.156548023223877e-17
7948.771742658798,1.0113176345825197e-16
7950.600347152324,1.6624603271484377e-16
7952.4337380323595,1.6062307357788088e-16
7954.263184963109,8.585843086242676e-17
7956.097420485453,5.852035522460938e-17
7957.927710241536,5.4709262847900395e-17
7959.758421053372,5.341985225677491e-17
7961.593923765023,5.521706581115723e-17
7963.425477984461,9.471737861633301e-17
7965.261826311341,3.3220005035400394e-16
7967.094224326941,4.623875808715821e-16
7968.931418658623,2.7800230026245117e-16
7970.76466085912,1.1090817451477052e-16
7972.598324794577,7.256889343261719e-17
7974.436788359671,6.261684894561768e-17
7976.271297063233,6.81754207611084e-17
7978.110607607619,1.0923551559448243e-16
7979.945961468472,1.9661157608032227e-16
7981.786119382355,2.3898777008056643e-16
7983.6223187898595,1.5887245178222656e-16
7985.458940612626,7.073424339294434e-17
7987.3003698073235,5.982919216156006e-17
7989.137837760893,6.693527221679687e-17
7990.980115301147,7.380048751831056e-17
7992.818429775331,1.7769119262695313e-16
7994.661556051975,4.794098663330078e-16
7996.500717436766,4.597129058837891e-16
7998.344692840811,1.8208852767944338e-16
8000.18470152638,7.721997261047364e-17
